2025-08-08 16:03:53,575 [INFO] Scraped https://neetcode.io/problems/median-of-two-sorted-arrays?list=neetcode150 | DSA: 4. Binary Search (Optimal) | TC: O(log⁡(min(n,m) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:54,367 [INFO] Scraped https://neetcode.io/problems/reverse-a-linked-list?list=neetcode150 | DSA: 2. Iteration | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:55,200 [INFO] Scraped https://neetcode.io/problems/merge-two-sorted-linked-lists?list=neetcode150 | DSA: 2. Iteration | TC: O(n+m) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:56,100 [INFO] Scraped https://neetcode.io/problems/linked-list-cycle-detection?list=neetcode150 | DSA: 2. Fast And Slow Pointers | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:56,993 [INFO] Scraped https://neetcode.io/problems/reorder-linked-list?list=neetcode150 | DSA: 3. Reverse And Merge | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:57,936 [INFO] Scraped https://neetcode.io/problems/remove-node-from-end-of-linked-list?list=neetcode150 | DSA: 4. Two Pointers | TC: O(N) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:58,810 [INFO] Scraped https://neetcode.io/problems/copy-linked-list-with-random-pointer?list=neetcode150 | DSA: 5. Space Optimized - II | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:59,819 [INFO] Scraped https://neetcode.io/problems/add-two-numbers?list=neetcode150 | DSA: 2. Iteration | TC: O(m+n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:00,904 [INFO] Scraped https://neetcode.io/problems/find-duplicate-integer?list=neetcode150 | DSA: 7. Fast And Slow Pointers | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:01,964 [INFO] Scraped https://neetcode.io/problems/lru-cache?list=neetcode150 | DSA: 3. Built-In Data Structure | TC: O(1) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:03,137 [INFO] Scraped https://neetcode.io/problems/merge-k-sorted-linked-lists?list=neetcode150 | DSA: 6. Divide And Conquer (Iteration) | TC: O(nlog⁡k) | SC: O(k) | Desc_len: 406
2025-08-08 16:04:04,512 [INFO] Scraped https://neetcode.io/problems/reverse-nodes-in-k-group?list=neetcode150 | DSA: 2. Iteration | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:05,397 [INFO] Scraped https://neetcode.io/problems/invert-a-binary-tree?list=neetcode150 | DSA: 3. Iterative DFS | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:06,227 [INFO] Scraped https://neetcode.io/problems/depth-of-binary-tree?list=neetcode150 | DSA: 3. Breadth First Search | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:07,255 [INFO] Scraped https://neetcode.io/problems/binary-tree-diameter?list=neetcode150 | DSA: 3. Iterative DFS | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:08,328 [INFO] Scraped https://neetcode.io/problems/balanced-binary-tree?list=neetcode150 | DSA: 3. Iterative DFS | TC: O(n) | SC: O(n) | Desc_len: 406
